0.449,0.439,0.452,0.429,0.397,0.464,0.433,0.448,0.476,0.404,0.430,0.464,0.466,0.414,0.500,-1.000,0.450,0.506,0.454,0.462,0.430,0.468,0.475,0.531,0.457,0.494,0.428,0.465,0.444,0.485
0.448,0.494,0.428,0.478,0.391,0.491,0.510,0.415,0.477,0.401,0.479,0.443,0.548,0.444,0.438,0.495,-1.000,0.494,0.439,0.472,0.406,0.475,0.492,0.447,0.465,0.490,0.481,0.409,0.428,0.438
0.482,0.471,0.438,0.455,0.438,0.429,0.420,0.435,0.500,0.406,0.429,0.470,0.413,0.461,0.424,0.453,0.394,-1.000,0.411,0.453,0.425,0.439,0.400,0.463,0.437,0.453,0.418,0.506,0.425,0.438
0.451,0.445,0.516,0.460,0.420,0.494,0.464,0.435,0.447,0.437,0.483,0.427,0.465,0.521,0.404,0.465,0.462,0.545,-1.000,0.457,0.444,0.412,0.422,0.444,0.420,0.453,0.446,0.494,0.486,0.406
0.488,0.459,0.419,0.427,0.402,0.434,0.432,0.464,0.406,0.399,0.462,0.386,0.367,0.453,0.428,0.402,0.463,0.446,0.481,-1.000,0.416,0.410,0.443,0.416,0.419,0.436,0.467,0.429,0.435,0.401
0.462,0.482,0.419,0.426,0.463,0.414,0.462,0.495,0.421,0.415,0.394,0.424,0.467,0.465,0.418,0.445,0.414,0.478,0.469,0.421,-1.000,0.538,0.473,0.434,0.438,0.427,0.439,0.517,0.432,0.454
0.437,0.442,0.471,0.418,0.488,0.444,0.442,0.439,0.496,0.431,0.458,0.429,0.406,0.459,0.465,0.453,0.438,0.470,0.442,0.448,0.410,-1.000,0.445,0.466,0.430,0.536,0.458,0.474,0.471,0.457
0.392,0.398,0.388,0.403,0.408,0.427,0.364,0.429,0.456,0.400,0.435,0.383,0.412,0.384,0.436,0.469,0.369,0.442,0.398,0.393,0.367,0.439,-1.000,0.442,0.473,0.483,0.378,0.417,0.346,0.357
0.360,0.484,0.453,0.476,0.483,0.438,0.501,0.443,0.481,0.410,0.449,0.474,0.443,0.500,0.459,0.452,0.429,0.494,0.394,0.472,0.448,0.433,0.506,-1.000,0.427,0.430,0.389,0.503,0.433,0.482
0.450,0.400,0.436,0.427,0.491,0.465,0.440,0.504,0.530,0.433,0.475,0.422,0.437,0.443,0.405,0.460,0.420,0.457,0.488,0.446,0.440,0.474,0.486,0.452,-1.000,0.433,0.469,0.459,0.434,0.403
0.475,0.424,0.475,0.472,0.490,0.424,0.418,0.492,0.387,0.413,0.470,0.429,0.441,0.495,0.461,0.442,0.490,0.519,0.459,0.523,0.430,0.445,0.380,0.453,0.440,-1.000,0.447,0.500,0.445,0.481
